Scene,ParamScale,Training_Time,Train_SSIM,Train_PSNR,Train_LPIPS,Test_SSIM,Test_PSNR,Test_LPIPS
bonsai,1000k,383.4029004573822,0.9579924,34.6801147,0.1785042,0.9501259,33.2422447,0.1839599
truck,200k,148.6273753643036,0.8825043,26.6386356,0.1706974,0.867111,25.5426369,0.1746358
truck,400k,188.40436387062073,0.9021148,27.4476967,0.1361362,0.882444,26.0494518,0.1426214
truck,600k,224.77540349960327,0.9115201,27.8788166,0.118422,0.8891098,26.2892761,0.1272254
truck,800k,260.00349378585815,0.917628,28.1566906,0.1078706,0.8928858,26.3601685,0.1178591
truck,1000k,294.088351726532,0.9217481,28.3944073,0.1004323,0.8945644,26.4396915,0.1120908
truck,1200k,326.5917081832886,0.9249287,28.5397701,0.0945818,0.8966204,26.5208492,0.1070685
truck,1400k,360.3630666732788,0.9273164,28.6557789,0.0901993,0.8972192,26.519455,0.1036044
truck,1600k,393.6752836704254,0.9291884,28.7117443,0.086839,0.8980871,26.5708122,0.1011029
truck,1800k,1227.7727398872375,0.9313321,28.859499,0.0831319,0.8993661,26.5998497,0.0975497
truck,2000k,455.90402603149414,0.9325958,28.9223061,0.081081,0.8992627,26.5733261,0.0965293
train,200k,161.10185027122498,0.8270127,25.1310959,0.2361166,0.7909337,22.0299454,0.2530618
train,400k,207.03701376914978,0.8571203,26.0008926,0.1972154,0.8139256,22.5557117,0.2188703
train,600k,247.50481986999512,0.8727307,26.3538799,0.1770932,0.8251466,22.6094589,0.2008504
train,800k,743.9721834659576,0.8833754,26.7180786,0.1627286,0.8300741,22.6458797,0.1886791
train,1000k,322.3631908893585,0.8897889,26.8456688,0.1529938,0.8347849,22.721632,0.1811528
drjohnson,100k,134.07837462425232,0.9016395,31.7192745,0.2989455,0.8834077,28.7165318,0.3103568
drjohnson,200k,162.09517168998718,0.9199145,33.3154411,0.263989,0.8947025,29.249073,0.2829761
drjohnson,300k,177.0605022907257,0.9287301,34.0867882,0.2460057,0.8994908,29.5144501,0.2697332
drjohnson,400k,190.65911507606506,0.9342336,34.6141853,0.2347282,0.9019688,29.6151028,0.2623298
drjohnson,500k,201.3349289894104,0.9383671,34.9933357,0.2256037,0.9028412,29.5462685,0.2567393
drjohnson,600k,233.73150205612183,0.9414939,35.3033333,0.218752,0.9052454,29.6868935,0.2518118
drjohnson,700k,219.21943140029907,0.9438906,35.5269394,0.2128607,0.9052708,29.6362133,0.2490045
drjohnson,800k,228.05106163024902,0.9462398,35.7956085,0.2081465,0.9070632,29.837019,0.245612
drjohnson,900k,236.5333218574524,0.9480072,35.9806213,0.2037721,0.9072782,29.6715508,0.2432345
drjohnson,1000k,245.08529710769653,0.9493147,36.1280212,0.2005191,0.9077736,29.7881985,0.2411716
playroom,100k,137.48648190498352,0.9307498,34.5397797,0.2568764,0.9028257,30.2855167,0.2866685
playroom,200k,159.35178327560425,0.9392533,35.6702118,0.2340713,0.9090627,30.6886826,0.2660348
playroom,300k,403.06620621681213,0.9434462,36.3003044,0.2216957,0.9111448,30.9192066,0.2544253
playroom,400k,187.92975759506226,0.946454,36.734436,0.2129523,0.912879,30.8604355,0.2465205
playroom,500k,198.7536177635193,0.948346,37.041851,0.2067954,0.9129961,30.6052094,0.2423196
playroom,600k,210.26407504081726,0.9497666,37.1250725,0.2023381,0.9139225,30.69384,0.2375144
playroom,700k,218.89302134513855,0.951027,37.4101143,0.1985134,0.9134648,30.7961121,0.2344913
playroom,800k,227.8222758769989,0.9521389,37.6034203,0.1952088,0.9146969,30.8878593,0.2319348
playroom,900k,236.6629500389099,0.95305,37.7686234,0.1921059,0.9136457,30.7951527,0.2295539
playroom,1000k,246.10555148124695,0.9536214,37.7711601,0.1901951,0.914076,30.8777752,0.2271968
